"x" "group"
"1" 141 "Etruscan"
"2" 148 "Etruscan"
"3" 132 "Etruscan"
"4" 138 "Etruscan"
"5" 154 "Etruscan"
"6" 142 "Etruscan"
"7" 150 "Etruscan"
"8" 146 "Etruscan"
"9" 155 "Etruscan"
"10" 158 "Etruscan"
"11" 150 "Etruscan"
"12" 140 "Etruscan"
"13" 147 "Etruscan"
"14" 148 "Etruscan"
"15" 144 "Etruscan"
"16" 150 "Etruscan"
"17" 149 "Etruscan"
"18" 145 "Etruscan"
"19" 149 "Etruscan"
"20" 158 "Etruscan"
"21" 143 "Etruscan"
"22" 141 "Etruscan"
"23" 144 "Etruscan"
"24" 144 "Etruscan"
"25" 126 "Etruscan"
"26" 140 "Etruscan"
"27" 144 "Etruscan"
"28" 142 "Etruscan"
"29" 141 "Etruscan"
"30" 140 "Etruscan"
"31" 145 "Etruscan"
"32" 135 "Etruscan"
"33" 147 "Etruscan"
"34" 146 "Etruscan"
"35" 141 "Etruscan"
"36" 136 "Etruscan"
"37" 140 "Etruscan"
"38" 146 "Etruscan"
"39" 142 "Etruscan"
"40" 137 "Etruscan"
"41" 148 "Etruscan"
"42" 154 "Etruscan"
"43" 137 "Etruscan"
"44" 139 "Etruscan"
"45" 143 "Etruscan"
"46" 140 "Etruscan"
"47" 131 "Etruscan"
"48" 143 "Etruscan"
"49" 141 "Etruscan"
"50" 149 "Etruscan"
"51" 148 "Etruscan"
"52" 135 "Etruscan"
"53" 148 "Etruscan"
"54" 152 "Etruscan"
"55" 143 "Etruscan"
"56" 144 "Etruscan"
"57" 141 "Etruscan"
"58" 143 "Etruscan"
"59" 147 "Etruscan"
"60" 146 "Etruscan"
"61" 150 "Etruscan"
"62" 132 "Etruscan"
"63" 142 "Etruscan"
"64" 142 "Etruscan"
"65" 143 "Etruscan"
"66" 153 "Etruscan"
"67" 149 "Etruscan"
"68" 146 "Etruscan"
"69" 149 "Etruscan"
"70" 138 "Etruscan"
"71" 142 "Etruscan"
"72" 149 "Etruscan"
"73" 142 "Etruscan"
"74" 137 "Etruscan"
"75" 134 "Etruscan"
"76" 144 "Etruscan"
"77" 146 "Etruscan"
"78" 147 "Etruscan"
"79" 140 "Etruscan"
"80" 142 "Etruscan"
"81" 140 "Etruscan"
"82" 137 "Etruscan"
"83" 152 "Etruscan"
"84" 145 "Etruscan"
"85" 133 "Italian"
"86" 138 "Italian"
"87" 130 "Italian"
"88" 138 "Italian"
"89" 134 "Italian"
"90" 127 "Italian"
"91" 128 "Italian"
"92" 138 "Italian"
"93" 136 "Italian"
"94" 131 "Italian"
"95" 126 "Italian"
"96" 120 "Italian"
"97" 124 "Italian"
"98" 132 "Italian"
"99" 132 "Italian"
"100" 125 "Italian"
"101" 139 "Italian"
"102" 127 "Italian"
"103" 133 "Italian"
"104" 136 "Italian"
"105" 121 "Italian"
"106" 131 "Italian"
"107" 125 "Italian"
"108" 130 "Italian"
"109" 129 "Italian"
"110" 125 "Italian"
"111" 136 "Italian"
"112" 131 "Italian"
"113" 132 "Italian"
"114" 127 "Italian"
"115" 129 "Italian"
"116" 132 "Italian"
"117" 116 "Italian"
"118" 134 "Italian"
"119" 125 "Italian"
"120" 128 "Italian"
"121" 139 "Italian"
"122" 132 "Italian"
"123" 130 "Italian"
"124" 132 "Italian"
"125" 128 "Italian"
"126" 139 "Italian"
"127" 135 "Italian"
"128" 133 "Italian"
"129" 128 "Italian"
"130" 130 "Italian"
"131" 130 "Italian"
"132" 143 "Italian"
"133" 144 "Italian"
"134" 137 "Italian"
"135" 140 "Italian"
"136" 136 "Italian"
"137" 135 "Italian"
"138" 126 "Italian"
"139" 139 "Italian"
"140" 131 "Italian"
"141" 133 "Italian"
"142" 138 "Italian"
"143" 133 "Italian"
"144" 137 "Italian"
"145" 140 "Italian"
"146" 130 "Italian"
"147" 137 "Italian"
"148" 134 "Italian"
"149" 130 "Italian"
"150" 148 "Italian"
"151" 135 "Italian"
"152" 138 "Italian"
"153" 135 "Italian"
"154" 138 "Italian"
