"Minutes","Gender","Age"
200.0666667,"male",52
268.4666667,"female",30
463.2833333,"female",43
286.55,"female",54
408.1,"female",37
304.5333333,"male",51
356.85,"male",40
191.7666667,"male",22
220.6666667,"female",44
305.85,"male",51
461.65,"male",68
305.35,"male",42
352.5166667,"male",64
275,"male",36
454.5666667,"female",32
294.8166667,"male",42
281.75,"female",41
224.1,"male",32
389.25,"female",58
217.3,"female",40
401.45,"female",38
277.9166667,"male",50
214.6333333,"male",44
237.3833333,"male",52
232.3666667,"male",63
299.4,"female",51
241.6333333,"female",47
335.7833333,"male",54
287.5,"male",60
375.2666667,"male",39
274.55,"female",59
365.5333333,"female",27
301.75,"female",43
294.1333333,"female",38
334.6666667,"female",55
189.05,"male",52
308.15,"female",31
405.1333333,"female",51
371.2833333,"male",46
240.3166667,"female",42
272.35,"male",45
378.0166667,"female",45
359.9,"male",51
357.3333333,"female",35
444.5,"male",67
174.5333333,"male",36
324.9666667,"male",35
304.65,"male",28
354,"male",44
368.3666667,"male",35
191.2166667,"male",39
322.9333333,"female",46
326.25,"female",31
358.95,"female",43
301.2333333,"female",52
237.4333333,"male",33
359.7,"female",37
281.75,"male",45
330,"male",29
393.05,"male",60
178.85,"male",49
427.4333333,"female",58
197.3833333,"male",36
244.25,"male",31
466.8833333,"male",65
332.95,"female",41
317.8166667,"female",35
494.8333333,"male",58
335.8666667,"male",35
329.6,"male",31
217.05,"male",56
307.9,"male",33
357.5833333,"male",75
312.8333333,"female",34
314.7666667,"female",26
294.1333333,"male",44
300.85,"male",29
335.2666667,"male",46
224.3166667,"female",45
286.1833333,"male",50
188.5833333,"male",40
230.6333333,"male",23
365.3833333,"female",40
509.15,"male",43
338.15,"male",36
485.8666667,"male",33
328.0666667,"female",35
305.5666667,"male",45
236.15,"female",42
206.8833333,"female",43
390.35,"male",32
271.1666667,"male",21
238.4,"female",33
276,"female",28
204.4666667,"male",40
216.1666667,"male",49
334.85,"male",38
396.4333333,"female",48
294.3166667,"male",49
265.4833333,"male",51
259.5333333,"male",24
193.0666667,"male",52
207,"male",30
222.1666667,"male",51
272.1666667,"female",40
435.15,"female",53
324.9666667,"male",29
348.7833333,"female",39
292.5666667,"female",43
258.25,"male",39
272.3333333,"male",55
262.8833333,"male",34
295.5166667,"female",23
378.35,"male",60
298.2666667,"female",51
304.8666667,"male",54
410.25,"male",56
291.5666667,"male",48
226.8666667,"female",36
201.8333333,"female",26
168.6833333,"male",41
210.8166667,"female",28
302.4666667,"female",29
171.3833333,"male",20
217.9333333,"male",53
379.6833333,"male",52
285.3166667,"male",45
286.2,"male",48
173.7333333,"male",30
229.5333333,"male",37
195.2833333,"female",22
223,"female",45
302.4166667,"female",30
305.9,"female",48
235.4166667,"female",43
203.2,"male",44
374.5,"male",41
286.35,"male",30
298.5333333,"female",44
297.9333333,"male",38
205.5833333,"male",49
276.55,"male",42
287.2,"male",62
359.6666667,"female",55
408.4666667,"female",49
330.2,"female",43
265.9333333,"male",58
354.8666667,"female",50
313.2333333,"female",45
