"times"	"method"	"block"
"1"	5.4	"RoundOut"	"1"
"2"	5.5	"NarrowAngle"	"1"
"3"	5.55	"WideAngle"	"1"
"4"	5.85	"RoundOut"	"2"
"5"	5.7	"NarrowAngle"	"2"
"6"	5.75	"WideAngle"	"2"
"7"	5.2	"RoundOut"	"3"
"8"	5.6	"NarrowAngle"	"3"
"9"	5.5	"WideAngle"	"3"
"10"	5.55	"RoundOut"	"4"
"11"	5.5	"NarrowAngle"	"4"
"12"	5.4	"WideAngle"	"4"
"13"	5.9	"RoundOut"	"5"
"14"	5.85	"NarrowAngle"	"5"
"15"	5.7	"WideAngle"	"5"
"16"	5.45	"RoundOut"	"6"
"17"	5.55	"NarrowAngle"	"6"
"18"	5.6	"WideAngle"	"6"
"19"	5.4	"RoundOut"	"7"
"20"	5.4	"NarrowAngle"	"7"
"21"	5.35	"WideAngle"	"7"
"22"	5.45	"RoundOut"	"8"
"23"	5.5	"NarrowAngle"	"8"
"24"	5.35	"WideAngle"	"8"
"25"	5.25	"RoundOut"	"9"
"26"	5.15	"NarrowAngle"	"9"
"27"	5	"WideAngle"	"9"
"28"	5.85	"RoundOut"	"10"
"29"	5.8	"NarrowAngle"	"10"
"30"	5.7	"WideAngle"	"10"
"31"	5.25	"RoundOut"	"11"
"32"	5.2	"NarrowAngle"	"11"
"33"	5.1	"WideAngle"	"11"
"34"	5.65	"RoundOut"	"12"
"35"	5.55	"NarrowAngle"	"12"
"36"	5.45	"WideAngle"	"12"
"37"	5.6	"RoundOut"	"13"
"38"	5.35	"NarrowAngle"	"13"
"39"	5.45	"WideAngle"	"13"
"40"	5.05	"RoundOut"	"14"
"41"	5	"NarrowAngle"	"14"
"42"	4.95	"WideAngle"	"14"
"43"	5.5	"RoundOut"	"15"
"44"	5.5	"NarrowAngle"	"15"
"45"	5.4	"WideAngle"	"15"
"46"	5.45	"RoundOut"	"16"
"47"	5.55	"NarrowAngle"	"16"
"48"	5.5	"WideAngle"	"16"
"49"	5.55	"RoundOut"	"17"
"50"	5.55	"NarrowAngle"	"17"
"51"	5.35	"WideAngle"	"17"
"52"	5.45	"RoundOut"	"18"
"53"	5.5	"NarrowAngle"	"18"
"54"	5.55	"WideAngle"	"18"
"55"	5.5	"RoundOut"	"19"
"56"	5.45	"NarrowAngle"	"19"
"57"	5.25	"WideAngle"	"19"
"58"	5.65	"RoundOut"	"20"
"59"	5.6	"NarrowAngle"	"20"
"60"	5.4	"WideAngle"	"20"
"61"	5.7	"RoundOut"	"21"
"62"	5.65	"NarrowAngle"	"21"
"63"	5.55	"WideAngle"	"21"
"64"	6.3	"RoundOut"	"22"
"65"	6.3	"NarrowAngle"	"22"
"66"	6.25	"WideAngle"	"22"
