"continent","location","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","positive_rate","tests_per_case","total_vaccinations_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","hospital_beds_per_thousand","life_expectancy","human_development_index"
"South America","Argentina",5674428,20020,117181,12,124423.322,438.979,0.327,3.1,171.38,73.27,13.5,45605823,16.177,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,5,76.67,0.845
"Asia","Azerbaijan",617311,364,8365,7,60382.493,35.605,0.0488,20.5,110.98,45.74,14.67,10223344,119.309,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,4.7,73,0.756
"Asia","Bahrain",282677,615,1394,0,161687.244,351.771,0.0212,47.2,184.75,67.41,48.51,1748295,1935.907,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,2,77.29,0.852
"Europe","Belgium",2105343,0,28331,0,180990.591,0,0.181,5.5,186.67,75.86,37.69,11632334,375.564,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,5.64,81.63,0.931
"Europe","Bulgaria",748184,1076,30983,28,108485.055,156.018,0.0859,11.6,53.67,27.77,3.99,6896655,65.18,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,7.454,75.05,0.816
"Asia","Cambodia",120507,14,3012,0,7111.049,0.826,0.0026,387.8,179.77,80.61,21.22,16946446,90.672,25.6,4.412,2.385,3645.07,270.892,4,2,33.7,0.8,69.82,0.594
"North America","Canada",2256747,33012,30616,46,59282.131,867.187,0.2659,3.8,181.18,77.34,20.42,38067913,4.037,41.4,16.984,10.797,44017.591,105.599,7.37,12,16.6,2.5,82.43,0.929
"South America","Chile",1808398,1904,39140,25,94126.792,99.103,0.0265,37.7,230.65,86.12,57.44,19212362,24.282,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,2.11,80.18,0.851
"Europe","Czechia",2480736,5007,36182,53,231313.697,466.873,0.099,10.1,144.49,62.1,22.49,10724553,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,30.5,38.3,6.63,79.38,0.9
"Europe","Denmark",823282,20885,3272,5,141620.373,3592.623,0.1333,7.5,208.08,79.03,47.53,5813302,136.52,42.3,19.677,12.325,46682.515,114.767,6.41,19.3,18.8,2.5,80.9,0.94
"North America","Dominican Republic",419927,1149,4247,0,38336.495,104.896,0.1075,9.3,128.61,52.03,13.23,10953714,222.873,27.6,6.981,4.419,14600.861,266.653,8.2,8.5,19.1,1.6,74.08,0.756
"South America","Ecuador",551620,2202,33682,1,30836.616,123.096,0.283,3.5,154.11,70.94,6.31,17888474,66.939,28.1,7.104,4.458,10581.936,140.448,5.55,2,12.3,1.5,77.01,0.759
"Europe","Estonia",242123,715,1938,6,182708.416,539.546,0.1297,7.7,136.52,61.79,24.32,1325188,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,24.5,39.3,4.69,78.74,0.892
