ID,species,dfromtop,height,LMA
FP21,Pinus ponderosa,9.32,31.84,335.7743
FP21,Pinus ponderosa,6.21,34.95,305.9285
FP21,Pinus ponderosa,1.94,39.22,362.1693
FP21,Pinus ponderosa,12.62,28.54,349.3593
FP21,Pinus ponderosa,17.89,23.27,297.134
FP21,Pinus ponderosa,13.04,28.12,297.934
FP21,Pinus ponderosa,18.81,22.35,283.992
FP21,Pinus ponderosa,3.49,37.67,383.2974
FP22,Pinus ponderosa,1.39,21.95,251.4761
FP22,Pinus ponderosa,0.41,22.93,276.1112
FP22,Pinus ponderosa,2.79,20.55,284.4571
FP22,Pinus ponderosa,4.06,19.28,300.7122
FP22,Pinus ponderosa,0.81,22.53,278.3782
FP22,Pinus ponderosa,4.47,18.87,279.2089
FP22,Pinus ponderosa,3.31,20.03,251.6368
FP22,Pinus ponderosa,2.44,20.9,255.8584
FP23,Pinus ponderosa,11.02,14.92,252.532
FP23,Pinus ponderosa,0.32,25.62,265.9635
FP23,Pinus ponderosa,9.26,16.68,234.5269
FP23,Pinus ponderosa,3.91,22.03,269.155
FP23,Pinus ponderosa,6.93,19.01,248.0208
FP23,Pinus ponderosa,4.95,20.99,270.5129
FP23,Pinus ponderosa,7.64,18.3,238.4405
FP23,Pinus ponderosa,2.87,23.07,302.5796
FP24,Pinus ponderosa,2.86,22.25,290.0014
FP24,Pinus ponderosa,5.43,19.68,281.0852
FP24,Pinus ponderosa,7.62,17.49,253.1141
FP24,Pinus ponderosa,1.14,23.97,260.6628
FP24,Pinus ponderosa,1.43,23.68,268.1574
FP24,Pinus ponderosa,6.29,18.82,220.9514
FP24,Pinus ponderosa,4.29,20.82,269.1142
FP24,Pinus ponderosa,8.63,16.48,239.589
FP32,Pinus ponderosa,0.39,6.97,259.1068
FP32,Pinus ponderosa,2.76,4.6,292.3632
FP32,Pinus ponderosa,3.75,3.61,301.8186
FP32,Pinus ponderosa,1.58,5.78,300.6468
FP32,Pinus ponderosa,1.18,6.18,263.7852
FP32,Pinus ponderosa,3.55,3.81,282.2563
FP32,Pinus ponderosa,1.97,5.39,324.0532
FP32,Pinus ponderosa,4.73,2.63,235.378
FP34,Pinus ponderosa,0.37,3.2,229.3894
FP34,Pinus ponderosa,1,2.57,264.6235
FP34,Pinus ponderosa,2.44,1.13,211.4181
FP34,Pinus ponderosa,0.75,2.82,267.4931
FP34,Pinus ponderosa,1.87,1.7,257.6541
FP34,Pinus ponderosa,2.62,0.95,241.173
FP34,Pinus ponderosa,1.5,2.07,267.4026
FP34,Pinus ponderosa,2.06,1.51,241.0672
FP38,Pinus ponderosa,0.5,5.35,278.0054
FP38,Pinus ponderosa,1.5,4.35,314.0686
FP38,Pinus ponderosa,2.33,3.52,317.9589
FP38,Pinus ponderosa,3.33,2.52,295.5584
FP38,Pinus ponderosa,1,4.85,286.272
FP38,Pinus ponderosa,2,3.85,275.6531
FP38,Pinus ponderosa,3,2.85,325.9958
FP38,Pinus ponderosa,4,1.85,267.4753
FP39,Pinus ponderosa,18.43,16.71,331.243
FP39,Pinus ponderosa,14.45,20.69,279.6635
FP39,Pinus ponderosa,2.31,32.83,317.8054
FP39,Pinus ponderosa,22.13,13.01,319.5246
FP39,Pinus ponderosa,9.25,25.89,299.9557
FP39,Pinus ponderosa,23.21,11.93,288.3826
FP39,Pinus ponderosa,3.7,31.44,365.8415
FP39,Pinus ponderosa,10.18,24.96,319.6385
FW12,Pinus monticola,17.25,18.99,172.6875
FW12,Pinus monticola,3.72,32.52,201.8567
FW12,Pinus monticola,12.08,24.16,164.5546
FW12,Pinus monticola,19.35,16.89,153.5827
FW12,Pinus monticola,8.63,27.61,173.1958
FW12,Pinus monticola,9.2,27.04,160.0968
FW12,Pinus monticola,2.37,33.87,182.95
FW12,Pinus monticola,21.96,14.28,180.6084
FW15,Pinus monticola,7.01,16.12,146.938
FW15,Pinus monticola,3.76,19.37,145.9865
FW15,Pinus monticola,3.35,19.78,148.8511
FW15,Pinus monticola,0.3,22.83,152.7015
FW15,Pinus monticola,8.57,14.56,134.4138
FW15,Pinus monticola,12.52,10.61,133.4425
FW15,Pinus monticola,9.35,13.78,149.547
FW15,Pinus monticola,14.02,9.11,151.048
FW18,Pinus monticola,10,11.29,141.8683
FW18,Pinus monticola,7.5,13.79,148.066
FW18,Pinus monticola,7.73,13.56,135.1361
FW18,Pinus monticola,3.44,17.85,149.142
FW18,Pinus monticola,1.11,20.18,156.6735
FW18,Pinus monticola,1.67,19.62,153.8663
FW18,Pinus monticola,4.37,16.92,148.6523
FW18,Pinus monticola,6.67,14.62,154.9716
FW19,Pinus monticola,5.03,8.41,134.4889
FW19,Pinus monticola,1.62,11.82,153.6943
FW19,Pinus monticola,0.34,13.1,154.1846
FW19,Pinus monticola,4.22,9.22,133.0394
FW19,Pinus monticola,2.69,10.75,144.7504
FW19,Pinus monticola,3.31,10.13,134.6593
FW19,Pinus monticola,3.43,10.01,144.5378
FW19,Pinus monticola,1.18,12.26,138.3368
FW21,Pinus monticola,3.57,33.02,180.2133
FW21,Pinus monticola,4.3,32.29,193.692
FW21,Pinus monticola,0.59,36,174.844
FW21,Pinus monticola,9.03,27.56,169.1645
FW21,Pinus monticola,13.06,23.53,145.2402
FW21,Pinus monticola,10.75,25.84,162.2325
FW21,Pinus monticola,15,21.59,151.4124
FW21,Pinus monticola,7.74,28.85,168.8166
FW22,Pinus monticola,7.45,21.6,150.14940000000001
FW22,Pinus monticola,2.93,26.12,164.7787
FW22,Pinus monticola,4.61,24.44,159.0276
FW22,Pinus monticola,8.67,20.38,154.3326
FW22,Pinus monticola,13.17,15.88,140.0363
FW22,Pinus monticola,0.98,28.07,162.3759
FW22,Pinus monticola,15.12,13.93,140.0313
FW22,Pinus monticola,11.27,17.78,147.4438
FW26,Pinus monticola,0.09,5.33,125.1366
FW26,Pinus monticola,0.93,4.49,138.6108
FW26,Pinus monticola,2.54,2.88,144.5677
FW26,Pinus monticola,1.84,3.58,136.8525
FW26,Pinus monticola,0.76,4.66,133.3754
FW26,Pinus monticola,1.44,3.98,143.3952
FW26,Pinus monticola,2.03,3.39,149.8717
FW26,Pinus monticola,2.8,2.62,145.6689
FW27,Pinus monticola,3.93,30.63,160.5625
FW27,Pinus monticola,7.42,27.14,147.3498
FW27,Pinus monticola,11.47,23.09,142.1108
FW27,Pinus monticola,1.55,33.01,178.0242
FW27,Pinus monticola,2.33,32.23,190.2577
FW27,Pinus monticola,13.46,21.1,134.9136
FW27,Pinus monticola,6.98,27.58,153.5448
FW27,Pinus monticola,10.47,24.09,143.6745
FW28,Pinus monticola,16.4,28.24,173.1062
FW28,Pinus monticola,12.17,32.47,176.4119
FW28,Pinus monticola,2.19,42.45,187.8753
FW28,Pinus monticola,7.49,37.15,174.5732
FW28,Pinus monticola,14.09,30.55,196.9736
FW28,Pinus monticola,18.45,26.19,157.3466
FW28,Pinus monticola,8.28,36.36,194.8762
FW28,Pinus monticola,3.29,41.35,178.1317
FW30,Pinus monticola,6.27,16.32,172.4489
FW30,Pinus monticola,12.53,10.06,156.4624
FW30,Pinus monticola,17.9,4.69,164.8395
FW30,Pinus monticola,2.69,19.9,184.7298
FW30,Pinus monticola,3.36,19.23,194.103
FW30,Pinus monticola,15.22,7.37,153.5757
FW30,Pinus monticola,10.74,11.85,177.5581
FW30,Pinus monticola,20.29,2.3,151.4601
FW38,Pinus monticola,3.96,41.03,186.13
FW38,Pinus monticola,11.09,33.9,193.64940000000001
FW38,Pinus monticola,5.97,39.02,176.8983
FW38,Pinus monticola,18.31,26.68,161.482
FW38,Pinus monticola,13.87,31.12,160.6455
FW38,Pinus monticola,1.98,43.01,205.4182
FW38,Pinus monticola,14.56,30.43,168.6622
FW38,Pinus monticola,21.08,23.91,170.8914
FW39,Pinus monticola,6.33,33.9,175.3391
FW39,Pinus monticola,12.09,28.14,157.613
FW39,Pinus monticola,17.85,22.38,138.6093
FW39,Pinus monticola,2.59,37.64,212.5246
FW39,Pinus monticola,3.11,37.12,185.4489
FW39,Pinus monticola,14.39,25.84,147.417
FW39,Pinus monticola,9.79,30.44,167.0587
