STATE		MATHPROF	HOMELIB		READING
Alabama		252		78		34
Arizona		259		73		41
Arkansas	256		77		28
California	256		68		42
Colorado	267		85		38
Connecticut	270		86		43
Delaware	261		83		32
D.C.		231		76		24
Florida		255		73		31
Georgia		258		80		36
Guam		231		64		32
Hawaii		251		69		36
Idaho		272		84		48
Illinois	260		82		43
Indiana		267		84		37
Iowa		278		88		43
Kentucky	256		78		36
Louisiana	246		76		36
Maryland	260		83		34
Michigan	264		84		31
Minnesota	276		88		36
Montana		280		88		44
Nebraska	276		88		42
New_Hampshire	273		88		40
New_Jersey	269		84		41
New_Mexico	256		72		40
New_York	261		79		35
North_Carolina	250		78		37
North_Dakota	281		90		41
Ohio		264		84		36
Oklahoma	263		78		37
Oregon		271		82		41
Pennsylvania	266		86		34
Rhode_Island	260		80		38
Texas		258		70		34
Virgin_Islands	218		76		23
Virginia	264		82		33
West_Virginia	256		80		36
Wisconsin	274		86		38
Wyoming		272		86		43
