name mfr type calories protein fat sodium fiber carbo sugars potass vitamins shelf weight cups rating
100%_Bran N C  70 4 1 130 10.0  5.0  6 280  25 3 1.00 0.33 68.40297
100%_Natural_Bran Q C 120 3 5  15  2.0  8.0  8 135   0 3 1.00 1.00 33.98368
All-Bran K C  70 4 1 260  9.0  7.0  5 320  25 3 1.00 0.33 59.42551
All-Bran_with_Extra_Fiber K C  50 4 0 140 14.0  8.0  0 330  25 3 1.00 0.50 93.70491
Almond_Delight R C 110 2 2 200  1.0 14.0  8  -1  25 3 1.00 0.75 34.38484
Apple_Cinnamon_Cheerios G C 110 2 2 180  1.5 10.5 10  70  25 1 1.00 0.75 29.50954
Apple_Jacks K C 110 2 0 125  1.0 11.0 14  30  25 2 1.00 1.00 33.17409
Bran_Chex R C  90 2 1 200  4.0 15.0  6 125  25 1 1.00 0.67 49.12025
Bran_Flakes P C  90 3 0 210  5.0 13.0  5 190  25 3 1.00 0.67 53.31381
Cinnamon_Toast_Crunch G C 120 1 3 210  0.0 13.0  9  45  25 2 1.00 0.75 19.82357
Clusters G C 110 3 2 140  2.0 13.0  7 105  25 3 1.00 0.50 40.40021
Cocoa_Puffs G C 110 1 1 180  0.0 12.0 13  55  25 2 1.00 1.00 22.73645
Corn_Chex R C 110 2 0 280  0.0 22.0  3  25  25 1 1.00 1.00 41.44502
Corn_Flakes K C 100 2 0 290  1.0 21.0  2  35  25 1 1.00 1.00 45.86332
Crispix K C 110 2 0 220  1.0 21.0  3  30  25 3 1.00 1.00 46.89564
Crispy_Wheat_&_Raisins G C 100 2 1 140  2.0 11.0 10 120  25 3 1.00 0.75 36.17620
Froot_Loops K C 110 2 1 125  1.0 11.0 13  30  25 2 1.00 1.00 32.20758
Frosted_Flakes K C 110 1 0 200  1.0 14.0 11  25  25 1 1.00 0.75 31.43597
Frosted_Mini-Wheats K C 100 3 0   0  3.0 14.0  7 100  25 2 1.00 0.80 58.34514
