name mfr type calories protein fat sodium fiber carbo sugars potass vitamins shelf weight cups rating
100%_Bran N C  70 4 1 130 10.0  5.0  6 280  25 3 1.00 0.33 68.40297
100%_Natural_Bran Q C 120 3 5  15  2.0  8.0  8 135   0 3 1.00 1.00 33.98368
All-Bran K C  70 4 1 260  9.0  7.0  5 320  25 3 1.00 0.33 59.42551
All-Bran_with_Extra_Fiber K C  50 4 0 140 14.0  8.0  0 330  25 3 1.00 0.50 93.70491
Almond_Delight R C 110 2 2 200  1.0 14.0  8  -1  25 3 1.00 0.75 34.38484
Apple_Jacks K C 110 2 0 125  1.0 11.0 14  30  25 2 1.00 1.00 33.17409
Bran_Flakes P C  90 3 0 210  5.0 13.0  5 190  25 3 1.00 0.67 53.31381
Cocoa_Puffs G C 110 1 1 180  0.0 12.0 13  55  25 2 1.00 1.00 22.73645
Corn_Chex R C 110 2 0 280  0.0 22.0  3  25  25 1 1.00 1.00 41.44502
Corn_Flakes K C 100 2 0 290  1.0 21.0  2  35  25 1 1.00 1.00 45.86332
Crispix K C 110 2 0 220  1.0 21.0  3  30  25 3 1.00 1.00 46.89564
Crispy_Wheat_&_Raisins G C 100 2 1 140  2.0 11.0 10 120  25 3 1.00 0.75 36.17620
Froot_Loops K C 110 2 1 125  1.0 11.0 13  30  25 2 1.00 1.00 32.20758
Frosted_Flakes K C 110 1 0 200  1.0 14.0 11  25  25 1 1.00 0.75 31.43597
Frosted_Mini-Wheats K C 100 3 0   0  3.0 14.0  7 100  25 2 1.00 0.80 58.34514
Fruit_&_Fibre_Dates_Walnuts_and_Oats P C 120 3 2 160  5.0 12.0 10 200  25 3 1.25 0.67 40.91705
Golden_Grahams G C 110 1 1 280  0.0 15.0  9  45  25 2 1.00 0.75 23.80404
Grape-Nuts P C 110 3 0 170  3.0 17.0  3  90  25 3 1.00 0.25 53.37101
Great_Grains_Pecan P C 120 3 3  75  3.0 13.0  4 100  25 3 1.00 0.33 45.81172
Honey_Graham_Ohs Q C 120 1 2 220  1.0 12.0 11  45  25 2 1.00 1.00 21.87129
Lucky_Charms P C 110 2 1 180  0.0 12.0 12  55  25 2 1.00 1.00 26.73451
Muesli_Raisins_Dates_&_Almonds P C 150 4 3  95  3.0 16.0 11 170  25 3 1.00 1.00 37.13686
Mueslix_Crispy_Blend K C 160 3 2 150  3.0 17.0 13 160  25 3 1.50 0.67 30.31335
Multi-Grain_Cheerios G C 100 2 1 220  2.0 15.0  6  90  25 1 1.00 1.00 40.10596
Nutri-Grain_Almond-Raisin K C 140 3 2 220  3.0 21.0  7 130  25 3 1.33 0.67 40.69232
Nutri-grain_Wheat K C  90 3 0 170  3.0 18.0  2  90  25 3 1.00 1.00 59.64284
Quaker_Oat_Squares Q C 100 4 1 135  2.0 14.0  6 110  25 3 1.00 0.50 49.51187
Quaker_Oatmeal Q H 100 5 2   0  2.7 -1.0 -1 110   0 1 1.00 0.67 50.82839
Rice_Chex R C 110 1 0 240  0.0 23.0  2  30  25 1 1.00 1.13 41.99893
Shredded_Wheat N C  80 2 0   0  3.0 16.0  0  95   0 1 0.83 1.00 68.23588
Triples G C 110 2 1 250  0.0 21.0  3  60  25 3 1.00 0.75 39.10617
Wheat_Chex R C 100 3 1 230  3.0 17.0  3 115  25 1 1.00 0.67 49.78744
Wheaties G C 100 3 1 200  3.0 17.0  3 110  25 1 1.00 1.00 51.59219
