crime pctmetro pctwhite pcths poverty single
761 41.799999237 75.199996948 86.599998474 9.1000003815 14.300000191
780 67.400001526 73.5 66.900001526 17.399999619 11.5
593 44.700000763 82.900001526 66.300003052 20 10.699999809
715 84.699996948 88.599998474 78.699996948 15.399999619 12.100000381
1078 96.699996948 79.300003052 76.199996948 18.200000763 12.5
567 81.800003052 92.5 84.400001526 9.8999996185 12.100000381
456 95.699996948 89 79.199996948 8.5 10.100000381
686 82.699996948 79.400001526 77.5 10.199999809 11.399999619
1206 93 83.5 74.400001526 17.799999237 10.600000381
723 67.699996948 70.800003052 70.900001526 13.5 13
261 74.699996948 40.900001526 80.099998474 8 9.1000003815
326 43.799999237 96.599998474 80.099998474 10.300000191 9
960 84 81 76.199996948 13.600000381 11.5
489 71.599998474 90.599998474 75.599998474 12.199999809 10.800000191
496 54.599998474 90.900001526 81.300003052 13.100000381 9.8999996185
463 48.5 91.800003052 64.599998474 20.399999619 10.600000381
1062 75 66.699996948 68.300003052 26.399999619 14.899999619
805 96.199996948 91.099998474 80 10.699999809 10.899999619
998 92.800003052 68.900001526 78.400001526 9.6999998093 12
126 35.700000763 98.5 78.800003052 10.699999809 10.600000381
792 82.699996948 83.099998474 76.800003052 15.399999619 13
327 69.300003052 94 82.400001526 11.600000381 9.8999996185
744 68.300003052 87.599998474 73.900001526 16.100000381 10.899999619
434 30.700000763 63.299999237 64.300003052 24.700000763 14.699999809
679 66.300003052 75.199996948 70 14.399999619 11.100000381
82 41.599998474 94.199996948 76.699996948 11.199999809 8.3999996185
339 50.599998474 94.300003052 81.800003052 10.300000191 9.3999996185
138 59.400001526 98 82.199996948 9.8999996185 9.1999998093
627 100 80.800003052 76.699996948 10.899999619 9.6000003815
930 56 87.099998474 75.099998474 17.399999619 13.800000191
875 84.800003052 86.699996948 78.800003052 9.8000001907 12.399999619
1074 91.699996948 77.199996948 74.800003052 16.399999619 12.699999809
504 81.300003052 87.5 75.699996948 13 11.399999619
635 60.099998474 82.5 74.599998474 19.899999619 11.100000381
503 70 93.599998474 81.5 11.800000191 11.300000191
418 84.800003052 88.699996948 74.699996948 13.199999809 9.6000003815
402 93.599998474 92.599998474 72 11.199999809 10.800000191
1023 69.800003052 68.599998474 68.300003052 18.700000763 12.300000191
208 32.599998474 90.199996948 77.099998474 14.199999809 9.3999996185
766 67.699996948 82.800003052 67.099998474 19.600000381 11.199999809
762 83.900001526 85.099998474 72.099998474 17.399999619 11.800000191
301 77.5 94.800003052 85.099998474 10.699999809 10
372 77.5 77.099998474 75.199996948 9.6999998093 10.300000191
114 27 98.400001526 80.800003052 10 11
515 83 89.400001526 83.800003052 12.100000381 11.699999809
264 68.099998474 92.099998474 78.599998474 12.600000381 10.399999619
208 41.799999237 96.300003052 66 22.200000763 9.3999996185
286 29.700000763 95.900001526 83 13.300000191 10.800000191
